Identifiant de document;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain
;;;;;;;1;05/01/2022;Vente;140000;251;;RTE;240;DE LALLEYRIAT;1130;LE POIZAT-LALLEYRIAT;1;204;;AB;64;;;;;;;;;;;;0;1;Maison;;80;3;S;;1861
;;;;;;;1;05/01/2022;Vente;140000;;;;B085;TOUR DE SYLANS;1130;LE POIZAT-LALLEYRIAT;1;204;;AB;142;;;;;;;;;;;;0;;;;;;P;;87
;;;;;;;1;05/01/2022;Vente;140000;;;;B085;TOUR DE SYLANS;1130;LE POIZAT-LALLEYRIAT;1;204;;AB;143;;;;;;;;;;;;0;;;;;;P;;96
;;;;;;;1;05/01/2022;Vente;140000;;;;B085;TOUR DE SYLANS;1130;LE POIZAT-LALLEYRIAT;1;204;;AB;144;;;;;;;;;;;;0;;;;;;P;;406
;;;;;;;1;06/01/2022;Vente;284000;;;;B082;AU VILLAGE;1460;BEARD-GEOVREISSIAT;1;170;;AB;274;;;;;;;;;;;;0;;;;;;P;;265
;;;;;;;1;06/01/2022;Vente;284000;1;;RTE;78;DE PIRE;1460;BEARD-GEOVREISSIAT;1;170;;AB;331;;;;;;;;;;;;0;1;Maison;;158;4;S;;885
;;;;;;;1;06/01/2022;Vente;284000;;;;B082;AU VILLAGE;1460;BEARD-GEOVREISSIAT;1;170;;AB;333;;;;;;;;;;;;0;;;;;;P;;157
;;;;;;;1;10/01/2022;Vente;140000;5262;;;B121;LES PINOUX;1570;MANZIAT;1;231;;C;598;;;;;;;;;;;;0;1;Maison;;76;3;S;;1134
;;;;;;;1;06/01/2022;Vente;38000;5170;;;B050;COLIGNY LE HAUT;1270;COLIGNY;1;108;;AB;204;;;;;;;;;;;;0;1;Maison;;50;2;S;;125
;;;;;;;1;06/01/2022;Vente;38000;;;;B050;COLIGNY LE HAUT;1270;COLIGNY;1;108;;AB;216;;;;;;;;;;;;0;;;;;;J;;646
